Berichtszeitpunkt	Impfung	Zielgruppe	Impfstatus	Altersgruppe	Bundesland_Name	Bundesland_short	KV_Region_Name	KV_Region_short	Landkreis_Name	Regionalschluessel_Kreis	Bevoelkerung_Gewicht	Impfquote
2022	Pertussis	Schwangere	1 Dosis	30-34	Niedersachsen	NI	Niedersachsen	NI	NA	NA	19474	48.00246
2022	Pertussis	Schwangere	1 Dosis	35-39	Niedersachsen	NI	Niedersachsen	NI	NA	NA	9877	46.67409
2022	Pertussis	Schwangere	1 Dosis	40-49	Niedersachsen	NI	Niedersachsen	NI	NA	NA	2161	41.60111
2022	Pertussis	Schwangere	1 Dosis	Gesamt	Niedersachsen	NI	Niedersachsen	NI	NA	NA	52130	45.65126
2022	Pertussis	Schwangere	1 Dosis	15-19	Nordrhein-Westfalen	NW	Westfalen-Lippe	WL	NA	NA	960	40
2022	Pertussis	Schwangere	1 Dosis	15-19	Nordrhein-Westfalen	NW	Nordrhein	NO	NA	NA	1067	36.83224
2022	Pertussis	Schwangere	1 Dosis	20-24	Nordrhein-Westfalen	NW	Nordrhein	NO	NA	NA	6183	39.26896
2022	Pertussis	Schwangere	1 Dosis	20-24	Nordrhein-Westfalen	NW	Westfalen-Lippe	WL	NA	NA	6022	39.72102
2022	Pertussis	Schwangere	1 Dosis	25-29	Nordrhein-Westfalen	NW	Westfalen-Lippe	WL	NA	NA	15614	47.4446
2022	Pertussis	Schwangere	1 Dosis	25-29	Nordrhein-Westfalen	NW	Nordrhein	NO	NA	NA	16489	47.63782
2022	Pertussis	Schwangere	1 Dosis	30-34	Nordrhein-Westfalen	NW	Nordrhein	NO	NA	NA	24472	54.45816
2022	Pertussis	Schwangere	1 Dosis	30-34	Nordrhein-Westfalen	NW	Westfalen-Lippe	WL	NA	NA	20940	52.65998
2022	Pertussis	Schwangere	1 Dosis	35-39	Nordrhein-Westfalen	NW	Westfalen-Lippe	WL	NA	NA	10655	51.42187
2022	Pertussis	Schwangere	1 Dosis	35-39	Nordrhein-Westfalen	NW	Nordrhein	NO	NA	NA	13882	53.87552
2022	Pertussis	Schwangere	1 Dosis	40-49	Nordrhein-Westfalen	NW	Nordrhein	NO	NA	NA	3217	50.26422
2022	Pertussis	Schwangere	1 Dosis	40-49	Nordrhein-Westfalen	NW	Westfalen-Lippe	WL	NA	NA	2248	45.907470000000004
2022	Pertussis	Schwangere	1 Dosis	Gesamt	Nordrhein-Westfalen	NW	Nordrhein	NO	NA	NA	65310	50.67983
2022	Pertussis	Schwangere	1 Dosis	Gesamt	Nordrhein-Westfalen	NW	Westfalen-Lippe	WL	NA	NA	56439	49.11852
2022	Pertussis	Schwangere	1 Dosis	15-19	Rheinland-Pfalz	RP	Rheinland-Pfalz	RP	NA	NA	401	44.38903
2022	Pertussis	Schwangere	1 Dosis	20-24	Rheinland-Pfalz	RP	Rheinland-Pfalz	RP	NA	NA	2645	42.98677
2022	Pertussis	Schwangere	1 Dosis	25-29	Rheinland-Pfalz	RP	Rheinland-Pfalz	RP	NA	NA	7102	49.09885
2022	Pertussis	Schwangere	1 Dosis	30-34	Rheinland-Pfalz	RP	Rheinland-Pfalz	RP	NA	NA	9637	53.92757
2022	Pertussis	Schwangere	1 Dosis	35-39	Rheinland-Pfalz	RP	Rheinland-Pfalz	RP	NA	NA	4885	53.20368
2022	Pertussis	Schwangere	1 Dosis	40-49	Rheinland-Pfalz	RP	Rheinland-Pfalz	RP	NA	NA	1074	48.41713
2022	Pertussis	Schwangere	1 Dosis	Gesamt	Rheinland-Pfalz	RP	Rheinland-Pfalz	RP	NA	NA	25744	50.95556
2022	Pertussis	Schwangere	1 Dosis	15-19	Saarland	SL	Saarland	SL	NA	NA	138	30.43478
2022	Pertussis	Schwangere	1 Dosis	20-24	Saarland	SL	Saarland	SL	NA	NA	709	38.36389
2022	Pertussis	Schwangere	1 Dosis	25-29	Saarland	SL	Saarland	SL	NA	NA	1574	42.69377
2022	Pertussis	Schwangere	1 Dosis	30-34	Saarland	SL	Saarland	SL	NA	NA	2159	47.522
2022	Pertussis	Schwangere	1 Dosis	35-39	Saarland	SL	Saarland	SL	NA	NA	1168	48.28767
2022	Pertussis	Schwangere	1 Dosis	40-49	Saarland	SL	Saarland	SL	NA	NA	222	41.89189
2022	Pertussis	Schwangere	1 Dosis	Gesamt	Saarland	SL	Saarland	SL	NA	NA	5970	44.70687
2022	Pertussis	Schwangere	1 Dosis	15-19	Sachsen	SN	Sachsen	SN	NA	NA	520	48.84615
2022	Pertussis	Schwangere	1 Dosis	20-24	Sachsen	SN	Sachsen	SN	NA	NA	2555	48.88454
2022	Pertussis	Schwangere	1 Dosis	25-29	Sachsen	SN	Sachsen	SN	NA	NA	5425	51.57604
2022	Pertussis	Schwangere	1 Dosis	30-34	Sachsen	SN	Sachsen	SN	NA	NA	8148	53.53461
2022	Pertussis	Schwangere	1 Dosis	35-39	Sachsen	SN	Sachsen	SN	NA	NA	4941	51.62922
2022	Pertussis	Schwangere	1 Dosis	40-49	Sachsen	SN	Sachsen	SN	NA	NA	1138	49.12127
2022	Pertussis	Schwangere	1 Dosis	Gesamt	Sachsen	SN	Sachsen	SN	NA	NA	22727	51.80182
2022	Pertussis	Schwangere	1 Dosis	15-19	Sachsen-Anhalt	ST	Sachsen-Anhalt	ST	NA	NA	401	58.10474
2022	Pertussis	Schwangere	1 Dosis	20-24	Sachsen-Anhalt	ST	Sachsen-Anhalt	ST	NA	NA	1664	58.71394
2022	Pertussis	Schwangere	1 Dosis	25-29	Sachsen-Anhalt	ST	Sachsen-Anhalt	ST	NA	NA	2828	61.06789
2022	Pertussis	Schwangere	1 Dosis	30-34	Sachsen-Anhalt	ST	Sachsen-Anhalt	ST	NA	NA	3564	60.80247
2022	Pertussis	Schwangere	1 Dosis	35-39	Sachsen-Anhalt	ST	Sachsen-Anhalt	ST	NA	NA	2176	59.7886
2022	Pertussis	Schwangere	1 Dosis	40-49	Sachsen-Anhalt	ST	Sachsen-Anhalt	ST	NA	NA	467	55.46039
2022	Pertussis	Schwangere	1 Dosis	Gesamt	Sachsen-Anhalt	ST	Sachsen-Anhalt	ST	NA	NA	11100	60.03604
2022	Pertussis	Schwangere	1 Dosis	15-19	Schleswig-Holstein	SH	Schleswig-Holstein	SH	NA	NA	287	43.20557
2022	Pertussis	Schwangere	1 Dosis	20-24	Schleswig-Holstein	SH	Schleswig-Holstein	SH	NA	NA	1797	46.52198
2022	Pertussis	Schwangere	1 Dosis	25-29	Schleswig-Holstein	SH	Schleswig-Holstein	SH	NA	NA	4616	51.79809
2022	Pertussis	Schwangere	1 Dosis	30-34	Schleswig-Holstein	SH	Schleswig-Holstein	SH	NA	NA	6486	55.50416
2022	Pertussis	Schwangere	1 Dosis	35-39	Schleswig-Holstein	SH	Schleswig-Holstein	SH	NA	NA	3402	55.73192
2022	Pertussis	Schwangere	1 Dosis	40-49	Schleswig-Holstein	SH	Schleswig-Holstein	SH	NA	NA	841	50.77289
2022	Pertussis	Schwangere	1 Dosis	Gesamt	Schleswig-Holstein	SH	Schleswig-Holstein	SH	NA	NA	17429	53.21017
2022	Pertussis	Schwangere	1 Dosis	15-19	Thüringen	TH	Thüringen	TH	NA	NA	294	47.61905
2022	Pertussis	Schwangere	1 Dosis	20-24	Thüringen	TH	Thüringen	TH	NA	NA	1396	45.70201
2022	Pertussis	Schwangere	1 Dosis	25-29	Thüringen	TH	Thüringen	TH	NA	NA	2613	49.48335
2022	Pertussis	Schwangere	1 Dosis	30-34	Thüringen	TH	Thüringen	TH	NA	NA	3568	50.28027
2022	Pertussis	Schwangere	1 Dosis	35-39	Thüringen	TH	Thüringen	TH	NA	NA	2215	46.54628
2022	Pertussis	Schwangere	1 Dosis	40-49	Thüringen	TH	Thüringen	TH	NA	NA	477	41.50943
2022	Pertussis	Schwangere	1 Dosis	Gesamt	Thüringen	TH	Thüringen	TH	NA	NA	10563	48.22494
